County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Power County,Idaho,7817,33.200000000000003,5403,947,4025,3792,"(42.693249999999999, -112.81832)"
Shoshone County,Idaho,12765,46.2,10105,2537,6424,6341,"(47.333260000000003, -115.96766)"
Teton County,Idaho,10170,33.200000000000003,7147,664,5321,4849,"(43.916580000000003, -111.37606)"
Twin Falls County,Idaho,77230,34.4,56086,10706,38115,39115,"(42.350459999999998, -114.64449)"
Valley County,Idaho,9862,46.9,7913,1659,5107,4755,"(45.127670000000002, -116.12624)"
Washington County,Idaho,10198,43.6,7680,2091,5017,5181,"(44.750160000000001, -117.00127999999999)"
Adams County,Illinois,67103,40.700000000000003,51642,11747,32667,34436,"(39.966709999999999, -91.18347)"
Alexander County,Illinois,8238,41.1,6353,1397,4182,4056,"(37.18338, -89.183409999999995)"
Bond County,Illinois,17768,39.700000000000003,14118,2671,9284,8484,"(38.883380000000002, -89.433409999999995)"
Boone County,Illinois,54165,36.799999999999997,38481,6364,27059,27106,"(42.333350000000003, -88.816770000000005)"
Brown County,Illinois,6937,37.299999999999997,5823,859,4450,2487,"(39.966720000000002, -90.733459999999994)"
Bureau County,Illinois,34978,42.5,26823,6326,17119,17859,"(41.400039999999997, -89.516760000000005)"
Calhoun County,Illinois,5089,44.6,3976,1024,2528,2561,"(39.166710000000002, -90.650120000000001)"
Carroll County,Illinois,15387,46.5,12226,3262,7708,7679,"(42.066690000000001, -89.916790000000006)"
Cass County,Illinois,13642,38.700000000000003,10241,2142,6838,6804,"(39.950049999999997, -90.233450000000005)"
Champaign County,Illinois,201081,28.9,162002,20066,100390,100691,"(40.133369999999999, -88.200050000000005)"
Christian County,Illinois,34800,41.6,27024,6096,17654,17146,"(39.550049999999999, -89.283420000000007)"
Clark County,Illinois,16335,42.3,12617,2946,7962,8373,"(39.333370000000002, -87.800030000000007)"
Clay County,Illinois,13815,42.2,10651,2468,6781,7034,"(38.833379999999998, -88.483379999999997)"
Clinton County,Illinois,37762,39.299999999999997,29180,5458,19529,18233,"(38.600050000000003, -89.400080000000003)"
Coles County,Illinois,53873,31.6,43931,7431,25958,27915,"(39.55003, -88.233379999999997)"
