County,State,Total population,Median age,Total population 18 and over,Total population 65 years and over,Male population,Female population,Location 1
Marion County,Texas,10546,48.4,8537,2270,5171,5375,"(32.800139999999999, -94.350189999999998)"
Martin County,Texas,4799,34.700000000000003,3343,591,2411,2388,"(32.300109999999997, -101.95041999999999)"
Mason County,Texas,4012,49.3,3161,979,1978,2034,"(30.733509999999999, -99.233670000000004)"
Matagorda County,Texas,36702,38.4,27031,5249,18363,18339,"(28.850259999999999, -95.950239999999994)"
Maverick County,Texas,54258,30,35935,5727,26451,27807,"(28.766919999999999, -100.35035000000001)"
Medina County,Texas,46006,38.6,34141,6210,23656,22350,"(29.366900000000001, -99.100309999999993)"
Menard County,Texas,2242,50.4,1803,602,1133,1109,"(30.86684, -99.850350000000006)"
Midland County,Texas,136872,33.5,99343,15114,67242,69630,"(31.866790000000002, -102.05041)"
Milam County,Texas,24757,40.5,18205,4305,12225,12532,"(30.800190000000001, -96.95026)"
Mills County,Texas,4936,45.7,3739,1158,2445,2491,"(31.483499999999999, -98.583650000000006)"
Mitchell County,Texas,9403,35.4,7583,1233,5746,3657,"(32.30012, -100.93371999999999)"
Montague County,Texas,19719,43.6,15192,3880,9665,10054,"(33.683439999999997, -97.716970000000003)"
Montgomery County,Texas,455746,36.1,329767,47404,225911,229835,"(30.316880000000001, -95.466880000000003)"
Moore County,Texas,21904,30.7,14905,2107,11317,10587,"(35.85004, -101.90046)"
Morris County,Texas,12934,42.2,9921,2506,6239,6695,"(33.116790000000002, -94.75076)"
Motley County,Texas,1210,49,946,328,613,597,"(34.066740000000003, -100.78373999999999)"
Nacogdoches County,Texas,64524,29.8,49463,7622,30800,33724,"(31.600180000000002, -94.633539999999996)"
Navarro County,Texas,47735,37.1,34812,6863,23657,24078,"(32.050150000000002, -96.466930000000005)"
Newton County,Texas,14445,40.700000000000003,11092,2342,7445,7000,"(30.766870000000001, -93.766850000000005)"
Nolan County,Texas,15216,39,11281,2519,7561,7655,"(32.30012, -100.41705)"
Nueces County,Texas,340223,35.1,251968,40913,167038,173185,"(27.733640000000001, -97.633610000000004)"
Ochiltree County,Texas,10223,31.8,6992,1056,5237,4986,"(36.283369999999998, -100.81708999999999)"
Oldham County,Texas,2052,34.4,1354,255,1035,1017,"(35.416719999999998, -102.60048999999999)"
Orange County,Texas,81837,38.6,61330,11473,40708,41129,"(30.13354, -93.900170000000003)"
Palo Pinto County,Texas,28111,40.299999999999997,21080,4582,13811,14300,"(32.750680000000003, -98.300330000000002)"
Panola County,Texas,23796,38.9,17926,3705,11808,11988,"(32.166829999999997, -94.300200000000004)"
Parker County,Texas,116927,38.9,87058,14283,59292,57635,"(32.766800000000003, -97.800309999999996)"
Parmer County,Texas,10269,31.9,7055,1224,5259,5010,"(34.5334, -102.8005)"
Pecos County,Texas,15507,36.6,11685,1821,8742,6765,"(30.750710000000002, -102.75099)"
Polk County,Texas,45413,42.9,35836,8646,24288,21125,"(30.783529999999999, -94.850210000000004)"
Potter County,Texas,121073,33,87420,13142,61919,59154,"(35.416719999999998, -101.90046)"
Presidio County,Texas,7818,38.5,5554,1389,3818,4000,"(29.916840000000001, -104.25103)"
Rains County,Texas,10914,45.8,8551,2223,5485,5429,"(32.866790000000002, -95.800240000000002)"
Randall County,Texas,120725,35.299999999999997,90622,15079,58737,61988,"(34.966720000000002, -101.90047)"
Reagan County,Texas,3367,33.5,2357,349,1748,1619,"(31.366810000000001, -101.53373000000001)"
Real County,Texas,3309,50.5,2649,853,1638,1671,"(29.816890000000001, -99.833669999999998)"
Red River County,Texas,12860,45.1,10113,2712,6266,6594,"(33.616779999999999, -95.033550000000005)"
Reeves County,Texas,13783,35.4,10641,1654,8281,5502,"(31.300139999999999, -103.66712)"
Refugio County,Texas,7383,43,5602,1440,3669,3714,"(28.33362, -97.166939999999997)"
Roberts County,Texas,929,41.3,693,149,469,460,"(35.85004, -100.81708999999999)"
Robertson County,Texas,16622,40.4,12409,2770,8230,8392,"(31.033519999999999, -96.500799999999998)"
Rockwall County,Texas,78337,35.9,54830,7540,38516,39821,"(32.900120000000001, -96.400260000000003)"
Runnels County,Texas,10501,42.3,7869,2044,5197,5304,"(31.833480000000002, -99.967029999999994)"
Rusk County,Texas,53330,38.6,40951,7487,28075,25255,"(32.11683, -94.783550000000005)"
Sabine County,Texas,10834,50.5,8714,2901,5301,5533,"(31.350180000000002, -93.850189999999998)"
San Augustine County,Texas,8865,47.1,6999,2044,4360,4505,"(31.400179999999999, -94.16686)"
San Jacinto County,Texas,26384,43,20058,4572,13205,13179,"(30.566870000000002, -95.166880000000006)"
San Patricio County,Texas,64804,36.1,46529,8361,32163,32641,"(28.016960000000001, -97.516940000000005)"
San Saba County,Texas,6131,40.6,4846,1177,3366,2765,"(31.150169999999999, -98.850319999999996)"
Schleicher County,Texas,3461,33.700000000000003,2358,440,1726,1735,"(30.900169999999999, -100.55037)"
Scurry County,Texas,16921,36.799999999999997,12687,2383,9028,7893,"(32.733440000000002, -100.93373)"
Shackelford County,Texas,3378,42.9,2544,589,1632,1746,"(32.75067, -99.350359999999995)"
Shelby County,Texas,25448,37.6,18721,3988,12591,12857,"(31.800170000000001, -94.150199999999998)"
Sherman County,Texas,3034,36.799999999999997,2118,405,1548,1486,"(36.283360000000002, -101.90045000000001)"
Smith County,Texas,209714,35.6,155918,29851,101425,108289,"(32.366819999999997, -95.233559999999997)"
Somervell County,Texas,8490,40.299999999999997,6244,1258,4182,4308,"(32.23348, -97.766970000000001)"
Starr County,Texas,60968,29,40290,6285,29440,31528,"(26.567, -98.766970000000001)"
Stephens County,Texas,9630,40.1,7325,1748,4975,4655,"(32.750680000000003, -98.850340000000003)"
Sterling County,Texas,1143,41.8,864,187,576,567,"(31.833469999999998, -101.05038999999999)"
Stonewall County,Texas,1490,46.3,1151,353,717,773,"(33.166759999999996, -100.35039)"
Sutton County,Texas,4128,38.700000000000003,2994,573,2029,2099,"(30.50074, -100.55037)"
Swisher County,Texas,7854,37,5802,1342,4136,3718,"(34.533389999999997, -101.73379)"
Tarrant County,Texas,1809034,33.4,1301973,161385,887235,921799,"(32.766800000000003, -97.300290000000004)"
Taylor County,Texas,131506,32.799999999999997,99348,17354,64028,67478,"(32.300130000000003, -99.833699999999993)"
Terrell County,Texas,984,44.5,766,205,509,475,"(30.200189999999999, -102.16708)"
Terry County,Texas,12651,35.1,9372,1827,6717,5934,"(33.166759999999996, -102.35046)"
Throckmorton County,Texas,1641,46.6,1275,403,807,834,"(33.16677, -99.20035)"
Titus County,Texas,32334,32.5,22451,3731,15976,16358,"(33.233449999999998, -94.983549999999994)"
Tom Green County,Texas,110224,34.299999999999997,84290,15265,53976,56248,"(31.40016, -100.46704)"
Travis County,Texas,1024266,31.9,779229,74759,516637,507629,"(30.333539999999999, -97.800290000000004)"
Trinity County,Texas,14585,47.3,11544,3272,7100,7485,"(31.100180000000002, -95.216880000000003)"
Tyler County,Texas,21766,42.1,17414,4129,11731,10035,"(30.783529999999999, -94.383529999999993)"
Upshur County,Texas,39309,40.5,29587,6191,19462,19847,"(32.733469999999997, -94.950220000000002)"
Upton County,Texas,3355,36.5,2440,493,1675,1680,"(31.366810000000001, -102.05041)"
Uvalde County,Texas,26405,35.299999999999997,18772,3896,12909,13496,"(29.366900000000001, -99.766999999999996)"
Val Verde County,Texas,48879,32.299999999999997,34315,6052,24519,24360,"(29.833539999999999, -101.08372)"
Van Zandt County,Texas,52579,42.1,39929,9447,25863,26716,"(32.566800000000001, -95.850239999999999)"
Victoria County,Texas,86793,36.4,63616,11664,42349,44444,"(28.7836, -96.95026)"
Walker County,Texas,67861,34.5,56543,6980,40007,27854,"(30.733529999999998, -95.566890000000001)"
Waller County,Texas,43205,31.7,32549,4396,21395,21810,"(30.000779999999999, -96.000789999999995)"
Ward County,Texas,10658,37,7738,1575,5151,5507,"(31.5168, -103.0671)"
Washington County,Texas,33718,41.6,26268,6199,16580,17138,"(30.233550000000001, -96.400239999999997)"
Webb County,Texas,250304,27.8,162146,19507,121488,128816,"(27.66696, -99.333650000000006)"
Wharton County,Texas,41280,37.200000000000003,30208,6019,20291,20989,"(29.283580000000001, -96.216909999999999)"
Wheeler County,Texas,5410,40.200000000000003,4039,995,2661,2749,"(35.416710000000002, -100.26707)"
Wichita County,Texas,131500,33.9,101091,17177,67438,64062,"(33.966760000000001, -98.717010000000002)"
Wilbarger County,Texas,13535,38,10068,2108,6736,6799,"(34.066749999999999, -99.267020000000002)"
Willacy County,Texas,22134,32.1,16203,2587,12030,10104,"(26.467009999999998, -97.633600000000001)"
Williamson County,Texas,422679,34.200000000000003,301227,37681,208032,214647,"(30.650189999999998, -97.600279999999998)"
Wilson County,Texas,42918,40,31584,5412,21372,21546,"(29.166910000000001, -98.066950000000006)"
Winkler County,Texas,7110,34.700000000000003,5001,840,3550,3560,"(31.85013, -103.03377)"
Wise County,Texas,59127,38.4,43724,7279,29803,29324,"(33.200119999999998, -97.666970000000006)"
Wood County,Texas,41964,47.5,33436,10148,20622,21342,"(32.783459999999998, -95.383560000000003)"
Yoakum County,Texas,7879,32.799999999999997,5378,895,3899,3980,"(33.16677, -102.83382)"
Young County,Texas,18550,41.8,14091,3422,9148,9402,"(33.166780000000003, -98.683670000000006)"
Zapata County,Texas,14018,28.3,9213,1460,7044,6974,"(26.983650000000001, -99.166979999999995)"
Zavala County,Texas,11677,30.8,8017,1408,5760,5917,"(28.850249999999999, -99.766999999999996)"
Beaver County,Utah,6629,31.9,4385,832,3410,3219,"(38.374409999999997, -113.12635)"
Box Elder County,Utah,49975,30.6,32997,5563,25185,24790,"(41.500480000000003, -112.87636999999999)"
Cache County,Utah,112656,25.5,77017,8694,55999,56657,"(41.749380000000002, -111.75022)"
Carbon County,Utah,21403,34.4,15681,2903,10615,10788,"(39.741070000000001, -110.50127000000001)"
Daggett County,Utah,1059,42.8,816,201,597,462,"(40.874400000000001, -109.37625)"
Davis County,Utah,306479,29.2,201140,24992,153891,152588,"(41.000500000000002, -112.00133)"
Duchesne County,Utah,18607,29.7,12298,1984,9455,9152,"(40.250509999999998, -110.37627000000001)"
Emery County,Utah,10976,32.799999999999997,7488,1368,5589,5387,"(38.99109, -110.62627000000001)"
Garfield County,Utah,5172,39,3793,831,2674,2498,"(37.750540000000001, -111.50127999999999)"
Grand County,Utah,9225,39.9,7107,1251,4646,4579,"(38.875529999999998, -109.50123000000001)"
Iron County,Utah,46163,26.8,32219,4533,22953,23210,"(37.750529999999998, -113.12634)"
Juab County,Utah,10246,29.3,6409,1043,5228,5018,"(37.74944, -112.75055999999999)"
Kane County,Utah,7125,44.5,5396,1388,3521,3604,"(37.374429999999997, -111.87629)"
Millard County,Utah,12503,33.700000000000003,8442,1770,6367,6136,"(39.125509999999998, -113.12524000000001)"
Morgan County,Utah,9469,32,6120,997,4771,4698,"(41.000500000000002, -111.75021)"
Piute County,Utah,1556,40.5,1088,332,796,760,"(38.250540000000001, -112.12520000000001)"
Rich County,Utah,2264,34.700000000000003,1560,343,1170,1094,"(41.625500000000002, -111.25020000000001)"
Salt Lake County,Utah,1029655,30.8,729874,89367,517881,511774,"(40.625500000000002, -111.87632000000001)"
San Juan County,Utah,14746,29.9,9729,1600,7403,7343,"(37.750549999999997, -109.50123000000001)"
Sanpete County,Utah,27822,28.4,19481,3197,14558,13264,"(39.250520000000002, -111.5013)"
Sevier County,Utah,20802,32.799999999999997,14202,3016,10494,10308,"(38.625529999999998, -111.6263)"
Summit County,Utah,36324,37.1,26254,2768,18724,17600,"(40.874389999999998, -110.87627999999999)"
Tooele County,Utah,58218,29.6,37200,4379,29327,28891,"(40.375489999999999, -113.12526)"
Uintah County,Utah,32588,29.1,21731,2997,16569,16019,"(40.249409999999997, -109.37624)"
Utah County,Utah,516564,24.6,334587,33457,258761,257803,"(40.124400000000001, -111.62631)"
Wasatch County,Utah,23530,31.6,15550,2017,11962,11568,"(40.375509999999998, -111.12627999999999)"
Washington County,Utah,138115,32.5,96429,23826,68292,69823,"(37.250540000000001, -113.25134)"
Wayne County,Utah,2778,37.1,1940,425,1404,1374,"(38.374429999999997, -110.87627000000001)"
Weber County,Utah,231236,30.7,161925,23388,116075,115161,"(41.250500000000002, -111.75133)"
Addison County,Vermont,36821,41.3,29319,5102,18364,18457,"(44.050060000000002, -73.116230000000002)"
Bennington County,Vermont,37125,45.1,29522,6995,17954,19171,"(43.033410000000003, -73.099549999999994)"
Caledonia County,Vermont,31227,42.1,24434,4793,15509,15718,"(44.450060000000001, -72.099540000000005)"
Chittenden County,Vermont,156545,36.200000000000003,125232,17685,76309,80236,"(44.450049999999997, -73.049570000000003)"
Essex County,Vermont,6306,47.4,5109,1220,3188,3118,"(44.683390000000003, -71.75009)"
Franklin County,Vermont,47746,39.6,35939,5808,23688,24058,"(44.850050000000003, -72.866249999999994)"
Grand Isle County,Vermont,6970,45.5,5553,979,3478,3492,"(44.81671, -73.299580000000006)"
Lamoille County,Vermont,24475,39.700000000000003,19008,3264,12244,12231,"(44.583379999999998, -72.632890000000003)"
Orange County,Vermont,28936,43.8,22887,4276,14421,14515,"(44.000619999999998, -72.449539999999999)"
Orleans County,Vermont,27231,43.7,21435,4824,13611,13620,"(44.81671, -72.232879999999994)"
Rutland County,Vermont,61642,44.3,49760,10257,30385,31257,"(43.616729999999997, -73.016220000000004)"
Washington County,Vermont,59534,42.3,47214,8617,29412,30122,"(44.116729999999997, -72.616219999999998)"
Windham County,Vermont,44513,44.9,35675,7167,21869,22644,"(42.983409999999999, -72.732870000000005)"
Windsor County,Vermont,56670,45.8,45421,10091,27774,28896,"(43.550069999999998, -72.566209999999998)"
Accomack County,Virginia,33164,44.7,26239,6336,16154,17010,"(37.750129999999999, -75.666319999999999)"
Albemarle County,Virginia,98970,38.200000000000003,77685,14124,47609,51361,"(38.033470000000001, -78.54974)"
Alleghany County,Virginia,16250,45.8,12800,3305,7954,8296,"(37.783459999999998, -80.000339999999994)"
Amelia County,Virginia,12690,42.7,9868,1999,6227,6463,"(37.350149999999999, -78.016390000000001)"
Amherst County,Virginia,32353,42,25413,5330,15452,16901,"(37.616799999999998, -79.250309999999999)"
Appomattox County,Virginia,14973,42.8,11648,2607,7290,7683,"(37.366810000000001, -78.816400000000002)"
Arlington County,Virginia,207627,33.4,175001,18054,103501,104126,"(38.866779999999999, -77.099699999999999)"
Augusta County,Virginia,73750,42.9,57995,11839,37412,36338,"(38.166800000000002, -79.116420000000005)"
Bath County,Virginia,4731,47.5,3927,1052,2390,2341,"(38.066789999999997, -79.733099999999993)"
Bedford County,Virginia,68676,44.3,53371,11147,34057,34619,"(37.300139999999999, -79.566419999999994)"
Bland County,Virginia,6824,43.6,5604,1185,3765,3059,"(37.150120000000001, -81.133150000000001)"
Botetourt County,Virginia,33148,44.9,25714,5425,16417,16731,"(37.566800000000001, -79.783100000000005)"
Brunswick County,Virginia,17434,41.3,14067,2882,9150,8284,"(36.750979999999998, -77.849720000000005)"
Buchanan County,Virginia,24098,43.8,19585,3868,12310,11788,"(37.25067, -82.033190000000005)"
Buckingham County,Virginia,17146,41.7,13849,2452,9493,7653,"(37.550150000000002, -78.566389999999998)"
Campbell County,Virginia,54842,41.1,42798,8685,26688,28154,"(37.23348, -79.099739999999997)"
Caroline County,Virginia,28545,38.9,21701,3744,14052,14493,"(38.033470000000001, -77.349699999999999)"
Carroll County,Virginia,30042,44.7,23824,5837,14821,15221,"(36.733460000000001, -80.699789999999993)"
Charles City County,Virginia,7256,46.6,5955,1214,3567,3689,"(37.366810000000001, -77.066360000000003)"
Charlotte County,Virginia,12586,43.7,9685,2351,6180,6406,"(37.000149999999998, -78.683059999999998)"
Chesterfield County,Virginia,316236,37.6,233721,32878,152399,163837,"(37.383479999999999, -77.599710000000002)"
Clarke County,Virginia,14034,44.9,10813,2287,6989,7045,"(39.116770000000002, -77.966390000000004)"
Craig County,Virginia,5190,44.8,4079,886,2565,2625,"(37.483460000000001, -80.183109999999999)"
Culpeper County,Virginia,46689,38.200000000000003,34604,5698,23684,23005,"(38.500399999999999, -77.966390000000004)"
Cumberland County,Virginia,10052,41.6,7765,1617,4870,5182,"(37.500430000000001, -78.25)"
Dickenson County,Virginia,15903,43,12580,2663,7950,7953,"(37.13344, -82.349869999999996)"
Dinwiddie County,Virginia,28001,40.700000000000003,21622,3826,13736,14265,"(37.06682, -77.633049999999997)"
Essex County,Virginia,11151,43.2,8700,1936,5274,5877,"(37.950139999999998, -76.949690000000004)"
Fairfax County,Virginia,1081726,37.299999999999997,819078,106290,534310,547416,"(38.850110000000001, -77.349710000000002)"
Fauquier County,Virginia,65203,41.3,48758,8289,32158,33045,"(38.733449999999998, -77.816379999999995)"
Floyd County,Virginia,15279,43.6,11932,2686,7667,7612,"(36.916800000000002, -80.399780000000007)"
Fluvanna County,Virginia,25691,41.1,19773,4022,11804,13887,"(37.850140000000003, -78.266390000000001)"
Franklin County,Virginia,56159,44.1,44482,9877,27706,28453,"(37.002360000000003, -79.866420000000005)"
Frederick County,Virginia,78305,39.1,58630,9954,38916,39389,"(39.216769999999997, -78.249719999999996)"
Giles County,Virginia,17286,43.2,13541,3116,8473,8813,"(37.316789999999997, -80.683120000000002)"
Gloucester County,Virginia,36858,42.6,28718,5410,18239,18619,"(37.416809999999998, -76.549670000000006)"
Goochland County,Virginia,21717,45.2,17317,3237,10764,10953,"(37.73348, -77.916380000000004)"
Grayson County,Virginia,15533,46.7,12583,3259,7611,7922,"(36.650120000000001, -81.216480000000004)"
Greene County,Virginia,18403,39.299999999999997,13812,2345,9057,9346,"(38.300130000000003, -78.466399999999993)"
Greensville County,Virginia,12243,40.9,10237,1537,7668,4575,"(36.683480000000003, -77.566370000000006)"
Halifax County,Virginia,36241,44.7,28258,7019,17274,18967,"(36.750419999999998, -78.933070000000001)"
Hanover County,Virginia,99863,41,74865,13104,49060,50803,"(37.750140000000002, -77.483040000000003)"
Henrico County,Virginia,306935,37.5,232563,37924,144167,162768,"(37.550150000000002, -77.366370000000003)"
Henry County,Virginia,54151,44.7,43043,10656,26082,28069,"(36.666800000000002, -79.883089999999996)"
Highland County,Virginia,2321,52.5,1975,579,1159,1162,"(38.366790000000002, -79.366429999999994)"
Isle of Wight County,Virginia,35270,43.8,27239,5165,17177,18093,"(36.883479999999999, -76.699680000000001)"
James City County,Virginia,67009,44.9,52624,13870,32346,34663,"(37.300150000000002, -76.766350000000003)"
King and Queen County,Virginia,6945,45.2,5503,1203,3454,3491,"(37.733469999999997, -76.899690000000007)"
King George County,Virginia,23584,36.6,17044,2397,11851,11733,"(38.266800000000003, -77.149699999999996)"
King William County,Virginia,15935,39.4,12000,1970,7759,8176,"(37.683480000000003, -77.083029999999994)"
Lancaster County,Virginia,11391,54.1,9560,3554,5352,6039,"(37.733469999999997, -76.433000000000007)"
Lee County,Virginia,25587,41.2,20410,4104,13352,12235,"(36.683419999999998, -83.133229999999998)"
Loudoun County,Virginia,312311,34.799999999999997,216877,20425,154078,158233,"(39.083440000000003, -77.649709999999999)"
Louisa County,Virginia,33153,42.6,25815,4796,16340,16813,"(37.983469999999997, -77.966390000000004)"
Lunenburg County,Virginia,12914,43.8,10420,2221,6857,6057,"(36.950150000000001, -78.250280000000004)"
Madison County,Virginia,13308,44.1,10338,2330,6488,6820,"(38.416789999999999, -78.266390000000001)"
Mathews County,Virginia,8978,50.1,7344,2290,4363,4615,"(37.43347, -76.366330000000005)"
Mecklenburg County,Virginia,32727,45.8,26351,6784,16225,16502,"(36.700139999999998, -78.349720000000005)"
Middlesex County,Virginia,10959,51,9198,2760,5466,5493,"(37.600140000000003, -76.566339999999997)"
Montgomery County,Virginia,94392,26.6,79277,9228,48823,45569,"(37.166800000000002, -80.383099999999999)"
Nelson County,Virginia,15020,47.6,12128,2988,7302,7718,"(37.783479999999997, -78.783079999999998)"
New Kent County,Virginia,18429,42.4,14328,2226,9373,9056,"(37.48348, -76.999690000000001)"
Northampton County,Virginia,12389,47.8,9953,2781,5929,6460,"(37.350140000000003, -75.932990000000004)"
Northumberland County,Virginia,12330,53.6,10309,3713,6009,6321,"(37.883470000000003, -76.416340000000005)"
Nottoway County,Virginia,15853,41.4,12590,2703,8371,7482,"(37.133479999999999, -78.066389999999998)"
Orange County,Virginia,33481,42.6,25819,6063,16422,17059,"(38.250689999999999, -78.033050000000003)"
Page County,Virginia,24042,43,18849,4248,11836,12206,"(38.633450000000003, -78.466399999999993)"
Patrick County,Virginia,18490,46.8,14924,3974,9090,9400,"(36.666800000000002, -80.283109999999994)"
Pittsylvania County,Virginia,63506,44.2,50021,10916,31226,32280,"(36.816809999999997, -79.399749999999997)"
Powhatan County,Virginia,28046,41.6,21569,3407,15114,12932,"(37.56682, -77.916390000000007)"
Prince Edward County,Virginia,23368,30.9,19311,3251,11621,11747,"(37.200150000000001, -78.449719999999999)"
Prince George County,Virginia,35725,38,27673,3712,19510,16215,"(37.200150000000001, -77.233029999999999)"
Prince William County,Virginia,402002,33.5,285827,27220,199677,202325,"(38.700119999999998, -77.483040000000003)"
Pulaski County,Virginia,34872,44.1,28071,6231,17239,17633,"(37.066789999999997, -80.716459999999998)"
Rappahannock County,Virginia,7373,47.5,5908,1408,3685,3688,"(38.666789999999999, -78.149720000000002)"
Richmond County,Virginia,9254,43.5,7663,1682,5231,4023,"(37.950130000000001, -76.733009999999993)"
Roanoke County,Virginia,92376,43.3,72263,15912,44079,48297,"(37.283470000000001, -80.049760000000006)"
Rockbridge County,Virginia,22307,46.5,18043,4620,10996,11311,"(37.800130000000003, -79.433090000000007)"
Rockingham County,Virginia,76314,40.4,58242,11964,37477,38837,"(38.51679, -78.883080000000007)"
Russell County,Virginia,28897,43,22992,4740,14155,14742,"(36.933439999999997, -82.083190000000002)"
Scott County,Virginia,23177,44.7,18701,4570,11498,11679,"(36.700099999999999, -82.583209999999994)"
Shenandoah County,Virginia,41993,43.1,32764,7768,20529,21464,"(38.866779999999999, -78.599739999999997)"
Smyth County,Virginia,32208,43.1,25491,5846,15705,16503,"(36.850119999999997, -81.516499999999994)"
Southampton County,Virginia,18570,44.3,14652,2828,9666,8904,"(36.73348, -77.099689999999995)"
Spotsylvania County,Virginia,122397,36.4,88354,12114,59925,62472,"(38.18347, -77.649709999999999)"
Stafford County,Virginia,128961,34.6,91764,9464,64822,64139,"(38.416789999999999, -77.466369999999998)"
Surry County,Virginia,7058,45,5571,1121,3484,3574,"(37.116819999999997, -76.899680000000004)"
Sussex County,Virginia,12087,40.6,10059,1752,7083,5004,"(36.933480000000003, -77.249690000000001)"
Tazewell County,Virginia,45078,43.2,35903,7757,22289,22789,"(37.100119999999997, -81.566500000000005)"
Warren County,Virginia,37575,39.700000000000003,28495,4780,18684,18891,"(38.933439999999997, -78.183059999999998)"
Washington County,Virginia,54876,43.7,44122,9738,27070,27806,"(36.71678, -81.96651)"
Westmoreland County,Virginia,17454,46.6,13961,3645,8511,8943,"(38.116799999999998, -76.783019999999993)"
Wise County,Virginia,41452,39,32846,5865,21431,20021,"(36.966769999999997, -82.599879999999999)"
Wythe County,Virginia,29235,43.2,23125,5212,14303,14932,"(36.916789999999999, -81.049809999999994)"
York County,Virginia,65464,39.4,48188,7934,32001,33463,"(37.23348, -76.549670000000006)"
Alexandria city,Virginia,139966,35.6,115996,12806,67262,72704,"(38.033470000000001, -78.54974)"
Bedford city,Virginia,6222,42.9,4944,1337,2874,3348,"(38.066789999999997, -79.733099999999993)"
Bristol city,Virginia,17835,41.3,14128,3381,8388,9447,"(37.566800000000001, -79.783100000000005)"
Buena Vista city,Virginia,6650,37.6,5226,1068,3093,3557,"(37.550150000000002, -78.566389999999998)"
Charlottesville city,Virginia,43475,27.8,37001,4017,20754,22721,"(37.000149999999998, -78.683059999999998)"
Chesapeake city,Virginia,222209,37,164688,23146,108051,114158,"(37.000149999999998, -78.683059999999998)"
Colonial Heights city,Virginia,17411,41.9,13523,3418,8062,9349,"(39.116770000000002, -77.966390000000004)"
Covington city,Virginia,5961,42.9,4694,1116,2886,3075,"(39.116770000000002, -77.966390000000004)"
Danville city,Virginia,43055,42.6,33793,8215,19636,23419,"(37.500430000000001, -78.25)"
Emporia city,Virginia,5927,37.9,4400,1002,2730,3197,"(37.06682, -77.633049999999997)"
Fairfax city,Virginia,22565,39.1,17973,3088,11123,11442,"(37.950139999999998, -76.949690000000004)"
Falls Church city,Virginia,12332,39,9285,1293,6043,6289,"(38.850110000000001, -77.349710000000002)"
Franklin city,Virginia,8582,40.700000000000003,6536,1480,3821,4761,"(37.850140000000003, -78.266390000000001)"
Fredericksburg city,Virginia,24286,28.8,19507,2413,11144,13142,"(39.216769999999997, -78.249719999999996)"
Galax city,Virginia,7042,42.4,5498,1423,3315,3727,"(39.216769999999997, -78.249719999999996)"
Hampton city,Virginia,137436,35.5,106162,16856,65750,71686,"(36.750419999999998, -78.933070000000001)"
Harrisonburg city,Virginia,48914,22.7,41566,4033,22798,26116,"(37.750140000000002, -77.483040000000003)"
Hopewell city,Virginia,22591,36.5,16918,3359,10476,12115,"(38.366790000000002, -79.366429999999994)"
Lexington city,Virginia,7042,22.8,6328,1077,3923,3119,"(36.683419999999998, -83.133229999999998)"
Lynchburg city,Virginia,75568,30.3,60794,10556,35474,40094,"(36.950150000000001, -78.250280000000004)"
Manassas city,Virginia,37821,32.1,27074,2607,18967,18854,"(38.416789999999999, -78.266390000000001)"
Manassas Park city,Virginia,14273,30.9,10214,806,7242,7031,"(38.416789999999999, -78.266390000000001)"
Martinsville city,Virginia,13821,43.6,10866,2649,6293,7528,"(38.416789999999999, -78.266390000000001)"
Newport News city,Virginia,180719,32.299999999999997,136806,19219,87263,93456,"(37.48348, -76.999690000000001)"
Norfolk city,Virginia,242803,29.7,192191,22796,125797,117006,"(37.48348, -76.999690000000001)"
Norton city,Virginia,3958,40,3094,580,1824,2134,"(37.883470000000003, -76.416340000000005)"
Petersburg city,Virginia,32420,39.799999999999997,25713,4854,15147,17273,"(36.666800000000002, -80.283109999999994)"
Poquoson city,Virginia,12150,43.5,9181,1891,5997,6153,"(36.816809999999997, -79.399749999999997)"
Portsmouth city,Virginia,95535,35.700000000000003,72869,12619,45933,49602,"(36.816809999999997, -79.399749999999997)"
Radford city,Virginia,16408,22.4,14263,1382,7779,8629,"(37.066789999999997, -80.716459999999998)"
Richmond city,Virginia,204214,32,166205,22619,97331,106883,"(38.666789999999999, -78.149720000000002)"
Roanoke city,Virginia,97032,38.5,75906,13836,46390,50642,"(37.950130000000001, -76.733009999999993)"
Salem city,Virginia,24802,40.5,19868,4240,11767,13035,"(36.933439999999997, -82.083190000000002)"
Staunton city,Virginia,23746,42.2,19131,4690,10747,12999,"(38.416789999999999, -77.466369999999998)"
Suffolk city,Virginia,84585,37.9,62448,9727,40588,43997,"(38.416789999999999, -77.466369999999998)"
Virginia Beach city,Virginia,437994,34.9,332745,46435,214441,223553,"(37.100119999999997, -81.566500000000005)"
Waynesboro city,Virginia,21006,38.799999999999997,16110,3567,10006,11000,"(36.71678, -81.96651)"
Williamsburg city,Virginia,14068,23.8,12664,1879,6625,7443,"(38.116799999999998, -76.783019999999993)"
Winchester city,Virginia,26203,35.1,20382,3676,12898,13305,"(38.116799999999998, -76.783019999999993)"
Adams County,Washington,18728,29,12216,1915,9544,9184,"(46.983199999999997, -118.51776)"
Asotin County,Washington,21623,43.5,16919,4172,10453,11170,"(46.19988, -117.18433)"
Benton County,Washington,175177,35.6,127513,20586,87486,87691,"(46.26652, -119.48447)"
Chelan County,Washington,72453,39.299999999999997,54390,11175,36130,36323,"(47.883180000000003, -120.63454)"
Clallam County,Washington,71404,49,58415,17189,35429,35975,"(48.049810000000001, -123.83463999999999)"
Clark County,Washington,425363,36.700000000000003,312788,48710,209954,215409,"(45.799840000000003, -122.48454)"
